PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED
"107481","2021-10-11","17:23:24","0.961583","1386","0",\N
"159410","2021-12-06","12:01:55","0.982392","3680","0",\N
"109725","2021-10-13","10:23:54","0.965896","172","0",\N
"62697","2021-09-21","10:18:46","0.944707","877","0",\N
"126195","2021-10-15","16:02:34","0.9123","971","0",\N
"65687","2021-09-21","11:22:10","0.977817","1533","0",\N
"23279","2021-08-26","10:09:09","0.997599","1636","0",\N
"47960","2021-09-11","17:12:29","0.900709","641","0",\N
"28328","2021-08-29","13:30:09","0.997785","626","0",\N
"45983","2021-09-10","11:07:37","0.99927","751","0",\N
"152779","2021-11-02","15:53:53","0.924358","1349","0",\N
"5909","2021-08-24","08:38:48","0.983387","428","0",\N
"141899","2021-10-25","10:36:34","0.991287","2087","0",\N
"36158","2021-08-30","17:21:14","0.985937","590","0",\N
"62028","2021-09-21","10:07:10","0.948672","761","0",\N
"128045","2021-10-18","17:20:22","0.962826","135","0",\N
"35087","2021-08-30","16:29:17","0.924775","142","0",\N
"84967","2021-10-01","17:36:36","0.994997","14","0",\N
"91620","2021-10-05","13:47:20","0.90764","1011","0",\N
"138793","2021-10-25","09:08:36","0.903449","782","0",\N
"56097","2021-09-21","07:58:41","0.980429","14","0",\N
"46563","2021-09-10","14:48:07","0.935961","1094","0",\N
"64715","2021-09-21","10:59:52","0.939016","1341","0",\N
"67629","2021-09-21","12:16:11","0.970337","2114","0",\N
"123766","2021-10-15","14:12:39","0.995107","404","0",\N
"52902","2021-09-19","15:31:29","0.971697","659","0",\N
"59473","2021-09-21","09:19:54","0.995873","233","0",\N
"124920","2021-10-15","15:21:49","0.988676","757","0",\N
"42727","2021-09-01","14:11:34","0.997453","2629","0",\N
"106660","2021-10-11","16:55:19","0.943587","1086","0",\N
"36854","2021-09-01","09:13:46","0.991492","121","0",\N
"81340","2021-09-23","13:10:43","0.917509","3520","0",\N
"83308","2021-09-30","12:21:53","0.958716","229","0",\N
"98897","2021-10-06","10:41:05","0.993072","921","0",\N
"72568","2021-09-21","14:37:02","0.900805","3467","0",\N
"83595","2021-09-30","14:16:40","0.916277","279","0",\N
"146651","2021-10-25","16:32:14","0.949217","5052","0",\N
"142977","2021-10-25","11:05:19","0.964","2743","0",\N
"86450","2021-10-03","16:38:39","0.961835","1027","0",\N
"131829","2021-10-22","12:12:06","0.945388","532","0",\N
"40744","2021-09-01","12:26:15","0.960305","1836","0",\N
"70680","2021-09-21","13:49:54","0.906051","2886","0",\N
"82175","2021-09-26","15:44:16","0.939711","329","0",\N
"120638","2021-10-14","15:42:55","0.988238","1665","0",\N
"109899","2021-10-13","10:27:10","0.988871","193","0",\N
"142215","2021-10-25","10:52:29","0.983835","2299","0",\N
"15329","2021-08-24","18:19:51","0.989806","519","0",\N
"72297","2021-09-21","14:27:06","0.992563","3415","0",\N
"41943","2021-09-01","13:38:46","0.942917","2469","0",\N
"92167","2021-10-05","14:06:14","0.98493","1052","0",\N
"24213","2021-08-26","10:50:30","0.940876","2039","0",\N
"28227","2021-08-29","13:28:54","0.938138","626","0",\N
"35770","2021-08-30","16:38:25","0.973239","235","0",\N
"29861","2021-08-29","14:57:43","0.901859","855","0",\N
"131281","2021-10-22","11:50:17","0.946344","365","0",\N
"95928","2021-10-05","17:28:44","0.973717","2064","0",\N
"72675","2021-09-21","14:41:10","0.985627","3498","0",\N
"44727","2021-09-02","08:39:33","0.997649","432","0",\N
"109194","2021-10-13","09:47:46","0.95722","118","0",\N
"156511","2021-12-05","14:24:37","0.907207","608","0",\N
