PRIMARY_KEY,DATE,TIME,CONFIDENCE,IDENTITY,CLASSIFIED,SPECIES
"33628","2021-08-30","08:26:14","0.919791","358","1","House Sparrow (female)"
"2047","2021-08-23","19:16:28","0.956549","802","1","House Sparrow (male)"
"36361","2021-08-30","17:23:29","0.979144","596","1","Mourning Dove"
"13856","2021-08-24","10:33:32","0.983397","1933","1","House Sparrow (male)"
"2165","2021-08-24","07:39:34","0.993606","46","1","Brown-headed Cowbird (female or juvenile)"
"21727","2021-08-26","09:17:42","0.989479","1209","1","Mourning Dove"
"17982","2021-08-26","08:01:55","0.952264","133","1","House Sparrow (female)"
"18797","2021-08-26","08:18:14","0.925532","133","1","Mourning Dove"
"4993","2021-08-24","08:27:01","0.974995","259","1","Mourning Dove"
"19115","2021-08-26","08:22:50","0.957031","406","1","Ruby-throated Hummingbird"
"540","2021-08-23","18:15:26","0.994472","169","1","Mourning Dove"
"2761","2021-08-24","07:47:10","0.995144","176","1","House Sparrow (female)"
"9490","2021-08-24","09:27:18","0.903133","1181","1","House Sparrow (male)"
"1992","2021-08-23","18:55:32","0.921551","743","1","Ruby-throated Hummingbird"
"9451","2021-08-24","09:26:29","0.961437","1194","1","House Sparrow (female)"
"14471","2021-08-24","11:22:13","0.986861","2218","1","Common Grackle"
"19389","2021-08-26","08:33:03","0.941374","547","1","Ruby-throated Hummingbird"
"31892","2021-08-29","18:25:07","0.975998","1990","1","House Sparrow (female)"
"22314","2021-08-26","09:50:11","0.984415","1318","1","House Sparrow (male)"
"8057","2021-08-24","09:10:19","0.973381","914","1","House Sparrow (male)"
"12287","2021-08-24","10:09:32","0.993625","1586","1","Mourning Dove"
"24883","2021-08-28","17:50:26","0.903734","7","1","House Sparrow (female)"
"17923","2021-08-26","07:59:04","0.930401","114","1","House Sparrow (male)"
"25502","2021-08-28","18:44:53","0.92695","1","1","House Sparrow (female)"
"2099","2021-08-24","07:38:11","0.985582","5","1","House Sparrow (female)"
"14463","2021-08-24","11:22:05","0.981847","2205","1","Ruby-throated Hummingbird"
"33080","2021-08-30","08:12:48","0.945037","258","1","House Sparrow (female)"
"30837","2021-08-29","16:43:19","0.914205","1327","1","House Sparrow (female)"
"34648","2021-08-30","09:11:40","0.996408","819","1","Mourning Dove"
"15282","2021-08-24","18:04:12","0.94287","345","1","Eastern Bluebird"
"15275","2021-08-24","18:04:06","0.991377","345","1","Eastern Bluebird"
"1242","2021-08-23","18:37:32","0.952541","446","1","Ruby-throated Hummingbird"
"23061","2021-08-26","10:01:23","0.917272","1410","1","House Sparrow (female)"
"36884","2021-09-01","09:14:08","0.981043","128","1","House Sparrow (female)"
"15061","2021-08-24","18:01:14","0.972592","299","1","Ruby-throated Hummingbird"
"31083","2021-08-29","16:49:09","0.912591","1391","1","Mourning Dove"
"17920","2021-08-26","07:58:57","0.974244","111","1","House Sparrow (female)"
"3540","2021-08-24","08:05:00","0.980136","9","1","Ruby-throated Hummingbird"
"357","2021-08-23","18:10:57","0.977631","134","1","Mourning Dove"
"31993","2021-08-29","18:37:40","0.919753","2030","1","House Sparrow (female)"
"15302","2021-08-24","18:04:35","0.919743","345","1","White-breasted Nuthatch"
"37212","2021-09-01","10:03:08","0.979369","658","1","House Sparrow (female)"
"3349","2021-08-24","07:53:58","0.955877","337","1","Ruby-throated Hummingbird"
"9114","2021-08-24","09:20:35","0.986329","1031","1","Song Sparrow"
"10238","2021-08-24","09:34:10","0.900453","1181","1","House Wren"
"33644","2021-08-30","08:26:22","0.98125","358","1","House Sparrow (female)"
"3055","2021-08-24","07:50:58","0.960684","268","1","House Sparrow (male)"
"13749","2021-08-24","10:32:14","0.922921","1918","1","House Sparrow (female)"
"37454","2021-09-01","10:06:25","0.964611","822","1","House Sparrow (female)"
"18425","2021-08-26","08:11:44","0.945766","285","1","House Sparrow (female)"
"690","2021-08-23","18:18:42","0.994338","232","1","House Sparrow (female)"
"28926","2021-08-29","14:18:15","0.959936","793","1","House Wren"
"27385","2021-08-29","13:10:24","0.98449","524","1","Indigo Bunting"
"32242","2021-08-29","18:48:47","0.919667","2045","1","House Sparrow (female)"
"22002","2021-08-26","09:21:09","0.992566","1099","1","Dark-eyed Junco"
"5656","2021-08-24","08:33:28","0.9742","302","1","House Sparrow (female)"
"20323","2021-08-26","08:46:01","0.930586","651","1","House Sparrow (male)"
"23381","2021-08-26","10:10:52","0.922583","1638","1","Ruby-throated Hummingbird"
"5985","2021-08-24","08:39:38","0.995381","436","1","Ruby-throated Hummingbird"
"8161","2021-08-24","09:11:25","0.98656","937","1","Ruby-throated Hummingbird"
"2023","2021-08-23","19:08:34","0.990681","770","1","Red-Bellied Woodpecker"
"31412","2021-08-29","17:36:53","0.963155","1829","1","American Crow"
"18858","2021-08-26","08:18:42","0.905266","338","1","Ruby-throated Hummingbird"
"36432","2021-08-30","17:24:29","0.913797","590","1","Mourning Dove"
"14691","2021-08-24","17:56:41","0.989835","295","1","House Sparrow (male)"
"24051","2021-08-26","10:39:14","0.914424","1922","1","Ruby-throated Hummingbird"
"24859","2021-08-28","17:48:45","0.932117","7","1","House Finch (female)"
"23623","2021-08-26","10:21:21","0.995361","1688","1","American Crow"
"25671","2021-08-28","18:47:32","0.986383","5","1","House Sparrow (female)"
"25046","2021-08-28","18:22:05","0.97033","96","1","Red-winged Blackbird (female)"
"483","2021-08-23","18:14:27","0.947522","118","1","House Sparrow (female)"
"33597","2021-08-30","08:25:54","0.933075","358","1","House Sparrow (female)"
"29030","2021-08-29","14:35:55","0.924896","800","1","House Sparrow (female)"
"1368","2021-08-23","18:41:03","0.917597","574","1","Mourning Dove"
"8387","2021-08-24","09:14:24","0.991114","781","1","Ruby-throated Hummingbird"
"14231","2021-08-24","11:15:35","0.996398","2159","1","Mourning Dove"
"16224","2021-08-25","17:32:14","0.938809","30","1","Mourning Dove"
"37647","2021-09-01","10:13:08","0.914299","870","1","Mourning Dove"
"3715","2021-08-24","08:08:22","0.975291","1","1","Mourning Dove"
"21005","2021-08-26","08:59:31","0.975386","888","1","Ruby-throated Hummingbird"
"4996","2021-08-24","08:27:02","0.929088","265","1","American Crow"
"931","2021-08-23","18:24:15","0.911363","334","1","Mourning Dove"
"8926","2021-08-24","09:18:34","0.950283","1017","1","Mourning Dove"
"28011","2021-08-29","13:26:26","0.991742","626","1","Mourning Dove"
"10166","2021-08-24","09:33:12","0.981738","1181","1","House Sparrow (male)"
"26466","2021-08-29","12:16:49","0.978191","190","1","Mourning Dove"
"27086","2021-08-29","13:07:39","0.994754","529","1","Mourning Dove"
"1115","2021-08-23","18:34:58","0.987841","427","1","House Sparrow (female)"
"14821","2021-08-24","17:58:09","0.944902","295","1","Mourning Dove"
"18697","2021-08-26","08:16:42","0.959603","133","1","Ruby-throated Hummingbird"
"26095","2021-08-29","11:44:40","0.953257","55","1","Mourning Dove"
"6522","2021-08-24","08:53:42","0.996893","642","1","White-breasted Nuthatch"
"32534","2021-08-30","07:37:22","0.934976","70","1","Mourning Dove"
"15611","2021-08-24","18:30:32","0.920089","617","1","House Sparrow (female)"
"24939","2021-08-28","18:21:10","0.905817","91","1","House Sparrow (female)"
"11459","2021-08-24","09:59:48","0.998343","1454","1","Eastern Bluebird"
"15308","2021-08-24","18:04:43","0.945436","345","1","Mourning Dove"
"22701","2021-08-26","09:55:14","0.935275","1410","1","White-breasted Nuthatch"
"20777","2021-08-26","08:54:10","0.985478","595","1","Mourning Dove"
"34879","2021-08-30","16:26:45","0.904856","77","1","Mourning Dove"
"31689","2021-08-29","18:21:31","0.929264","1945","1","Mourning Dove"
"27188","2021-08-29","13:08:27","0.961552","529","1","House Sparrow (female)"
"20440","2021-08-26","08:47:36","0.918783","595","1","Ruby-throated Hummingbird"
"30758","2021-08-29","16:24:41","0.915773","1232","1","Mourning Dove"
"31966","2021-08-29","18:27:03","0.926044","1990","1","House Sparrow (female)"
"32016","2021-08-29","18:41:46","0.901844","2034","1","Mourning Dove"
